,Year,Week,Player,Position,Injury,Practice Status,Game Status
0,2001,6,Jerry Ostroski,G,Lower leg,,Out
1,2001,6,Jeremy McDaniel,WR,Ankle,,Doubtful
2,2001,6,Tony Driver,S,Shoulder,,Questionable
3,2001,6,Leif Larsen,DT,Elbow,,Doubtful
4,2001,6,Phil Hansen,DE,Elbow,,Questionable
5,2001,6,Fred Taylor,RB,Groin,,Out
6,2001,6,Tony Boselli,T,Shoulder,,Out
7,2001,6,Donovin Darius,S,Hip,,Out
8,2001,6,Tony Brackens,DE,Knee,,Questionable
9,2001,6,Fernando Bryant,CB,Foot,,Questionable
10,2001,6,Hardy Nickerson,LB,Neck,,Questionable
11,2001,7,Chad Bratzke,DE,Ankle,,Questionable
12,2001,7,Jerome Pathon,WR,Foot,,Out
13,2001,7,Sean Harris,LB,Neck,,Out
14,2001,7,Terrence Wilkins,WR,Chest,,Out
15,2001,7,Adam Meadows,T,Foot,,Questionable
16,2001,7,Ray Crockett,CB,Hand,,Out
17,2001,7,Gary Stills,LB,Groin,,Out
18,2001,7,John Browning,DT,Knee,,Out
19,2001,7,Dante Hall,WR,Shoulder,,Questionable
20,2001,7,Victor Riley,T,Lower leg,,Out
21,2001,7,Victor Riley,T,Ankle,,Out
22,2001,11,Donald Driver,WR,Thigh,,Out
23,2001,11,Ron Rice,S,Neck,,Out
24,2001,11,James Stewart,RB,Ankle,,Questionable
25,2001,11,Desmond Howard,WR,Shoulder,,Questionable
26,2001,11,Bert Emanuel,WR,Knee,,Out
27,2001,11,Luther Elliss,DT,Elbow,,Questionable
28,2001,11,Stockar McDougle,G,Foot,,Questionable
29,2001,11,Bertrand Berry,DE,Shoulder,,Doubtful
30,2001,11,Kevin Kasper,WR,Ankle,,Questionable
31,2001,11,Scottie Montgomery,WR,Knee,,Questionable
32,2001,11,Trevor Pryce,DT,Neck,,Questionable
33,2001,11,Rod Smith,WR,Ankle,,Questionable
34,2001,11,Terrell Davis,RB,Knee,,Out
35,2001,11,Orantes Grant,LB,Knee,,Out
36,2001,11,Tony Dixon,S,Ankle,,Out
37,2001,11,Dexter Coakley,LB,Knee,,Questionable
38,2001,11,Quincy Carter,QB,Hamstring,,Questionable
39,2001,11,Jackie Harris,TE,Hamstring,,Out
40,2001,11,Louis Mackey,LB,Knee,,Out
41,2001,11,Ebenezer Ekuban,DE,Back,,Out
42,2001,12,Brandon Whiting,DE,Hamstring,,Doubtful
43,2001,12,Jeff Thomason,TE,Knee,,Out
44,2001,12,Snoop Minnis,WR,Ankle,,Questionable
45,2001,12,Chris Thomas,WR,Ankle,,Questionable
46,2001,12,Nate Hobgood-Chittick,DT,Ankle,,Questionable
47,2001,12,Donald Willis,G,Lower leg,,Doubtful
48,2002,1,Jim Flanigan,DT,Hamstring,,Questionable
49,2002,1,Rashad Holman,CB,Rib,,Questionable
50,2002,1,Saleem Rasheed,LB,Thigh,,Doubtful
51,2002,1,Jeff Ulbrich,LB,Knee,,Out
52,2002,1,Matt Willig,T,Knee,,Questionable
53,2002,1,John Engelberger,DE,Other,,Questionable
54,2002,1,Tiki Barber,RB,Hamstring,,Questionable
55,2002,1,Lance Legree,DT,Knee,,Questionable
56,2002,1,Delvin Joyce,RB,Thigh,,Questionable
57,2002,1,Dusty Zeigler,C,Knee,,Out
58,2002,1,Tim Carter,WR,Back,,Out
59,2002,13,Darrell Green,CB,Hip,,Questionable
60,2002,13,Renaldo Wynn,DE,Groin,,Doubtful
61,2002,13,Brenden Stai,G,Knee,,Questionable
62,2002,13,Fred Smoot,CB,Back,,Questionable
63,2002,13,Javiar Collins,T,Knee,,Out
64,2002,13,Duane Hawthorne,CB,Knee,,Questionable
65,2002,13,Randal Williams,WR,Concussion,,Questionable
66,2002,13,Darren Woodson,S,Abdomen,,Out
67,2002,13,Tebucky Jones,CB,Lower leg,,Questionable
68,2002,13,David Givens,WR,Lower leg,,Questionable
69,2002,13,Jared DeVries,DE,Foot,,Out
70,2002,13,Robert Porcher,DE,Knee,,Questionable
71,2002,13,Brian Walker,S,Foot,,Questionable
72,2002,13,Lamar Campbell,S,Hamstring,,Questionable
73,2002,13,Corey Harris,S,Knee,,Questionable
74,2003,1,Chad Pennington,QB,Wrist,,Out
75,2003,1,Larry Moore,C,Knee,,Questionable
76,2003,1,Taylor Jacobs,WR,Abdomen,,Doubtful
77,2003,1,Wilbert Brown,C,Elbow,,Questionable
78,2003,13,Jamie Nails,G,Ankle,,Questionable
79,2003,13,Larry Chester,DT,Thigh,,Questionable
80,2003,13,Zach Thomas,LB,Concussion,,Questionable
81,2003,13,J.R. Tolver,WR,Knee,,Out
82,2003,13,Sam Simmons,WR,Ankle,,Out
83,2003,13,Kurt Vollers,T,Back,,Questionable
84,2003,13,Darren Sharper,S,Chest,,Questionable
85,2003,13,T. Marcus Spriggs,T,Hamstring,,Questionable
86,2003,13,Nick Barnett,LB,Ankle,,Questionable
87,2003,13,Kenny Peterson,DT,Knee,,Questionable
88,2003,13,James Davis,LB,Shoulder,,Out
89,2003,13,Jared DeVries,DE,Shoulder,,Doubtful
90,2003,13,Eddie Drummond,WR,Ankle,,Questionable
91,2003,13,Charles Rogers,WR,Other,,Out
92,2004,1,James Mungro,RB,Wrist,,Questionable
93,2004,1,Brad Pyatt,WR,Thigh,,Questionable
94,2004,1,Troy Walters,WR,Wrist,,Out
95,2004,1,Cory Bird,S,Concussion,,Questionable
96,2004,1,Gilbert Gardner,LB,Ankle,,Out
97,2004,1,Joseph Jefferson,CB,Knee,,Out
98,2004,1,Bob Sanders,S,Foot,,Out
99,2004,1,Troy Brown,WR,Knee,,Questionable
100,2004,1,Rocky Calmus,LB,Back,,Questionable
101,2004,1,Carlos Hall,DE,Ankle,,Questionable
102,2004,1,Erron Kinney,TE,Lower leg,,Questionable
103,2004,1,Tyrone Calico,WR,Knee,,Out
104,2004,1,Joe Nedney,K,Hamstring,,Out
105,2004,1,Brad Kassell,LB,Lower leg,,Out
106,2004,1,Travis LaBoy,DE,Concussion,,Questionable
107,2004,1,Jake Schifino,WR,Hamstring,,Questionable
108,2004,1,Rob Konrad,RB,Thigh,,Out
109,2004,1,Tim Bowens,DT,Back,,Out
110,2004,12,Rick DeMulling,G,Chest,,Doubtful
111,2004,12,Troy Walters,WR,Arm,,Questionable
112,2004,12,Tupe Peko,G,Ankle,,Out
113,2004,12,Gilbert Gardner,LB,Hamstring,,Doubtful
114,2004,12,Bob Sanders,S,Knee,,Out
115,2004,12,Az-Zahir Hakim,WR,Hip,,Questionable
116,2004,12,Boss Bailey,LB,Knee,,Out
117,2004,12,Marcus Reese,LB,Foot,,Out
118,2004,12,Ruben Brown,G,Neck,,Doubtful
119,2004,12,Brian Urlacher,LB,Lower leg,,Out
120,2004,12,Richie Anderson,RB,Concussion,,Questionable
121,2004,12,Vinny Testaverde,QB,Shoulder,,Questionable
122,2004,15,John Hall,K,Thigh,,Out
123,2004,15,Demetric Evans,DE,Ankle,,Questionable
124,2004,15,LaVar Arrington,LB,Knee,,Questionable
125,2004,15,Jason Doering,S,Ankle,,Out
126,2004,15,Shawn Springs,CB,Concussion,,Out
127,2004,15,Kevan Barlow,RB,Knee,,Questionable
128,2004,15,Tim Rattay,QB,Foot,,Doubtful
129,2004,15,Casey Cramer,RB,Concussion,,Doubtful
130,2004,15,Eddie Jackson,CB,Shoulder,,Questionable
131,2004,15,Ed Jasper,DT,Hand,,Questionable
132,2004,15,T.J. Duckett,RB,Knee,,Out
133,2004,15,Jason Webster,CB,Groin,,Questionable
134,2004,15,Duce Staley,RB,Hamstring,,Questionable
135,2004,15,Verron Haynes,RB,Knee,,Questionable
136,2004,15,Kendrell Bell,LB,Groin,,Out
137,2004,15,Plaxico Burress,WR,Hamstring,,Questionable
138,2004,15,Clark Haggans,LB,Groin,,Out
139,2004,15,Clint Kriewaldt,LB,Hamstring,,Questionable
140,2004,15,Chad Scott,CB,Knee,,Out
141,2004,15,James Farrior,LB,Shoulder,,Questionable
142,2004,15,Chris Snee,G,Face,,Doubtful
143,2004,15,Barrett Green,LB,Knee,,Out
144,2004,15,Jamaar Taylor,WR,Thigh,,Doubtful
145,2004,15,Derrick Ward,RB,Ankle,,Questionable
146,2004,15,Norman Hand,DT,Groin,,Doubtful
147,2004,15,Gibril Wilson,S,Shoulder,,Doubtful
